SampleKey,rep,fold,view,y_true,y_true_name,y_pred,y_pred_name,correct,rank,cell_idx_in_bag,cell_id,attn_w
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,43,61,20241026S1_Cell28_B,0.0094175795093178
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,44,30,20241026S1_Cell19_A,0.009368659928441
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,45,42,20241026S1_Cell22_A,0.0092574413865804
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,46,100,20241026S1_Cell9_B,0.0090495105832815
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,47,43,20241026S1_Cell22_B,0.0090336510911583
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,48,15,20241026S1_Cell14_A,0.008888634853065
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,49,81,20241026S1_Cell4_A,0.0086220577359199
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,50,89,20241026S1_Cell5_C,0.0085712783038616
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,51,17,20241026S1_Cell14_C,0.0084283966571092
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,52,88,20241026S1_Cell5_B,0.0083624338731169
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,53,91,20241026S1_Cell6_B,0.0082120494917035
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,54,73,20241026S1_Cell32_C,0.0076418370008468
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,55,31,20241026S1_Cell19_B,0.0074967495165765
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,56,69,20241026S1_Cell30_A,0.0073723690584301
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,57,75,20241026S1_Cell34_C,0.0072291949763894
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,58,65,20241026S1_Cell29_C,0.0072266506031155
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,59,12,20241026S1_Cell13_A,0.0067920135334134
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,60,56,20241026S1_Cell26_C,0.0064564226195216
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,61,95,20241026S1_Cell7_C,0.0064527024514973
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,62,57,20241026S1_Cell27_A,0.0063412259332835
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,63,68,20241026S1_Cell3_C,0.0062273689545691
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,64,87,20241026S1_Cell5_A,0.0061968900263309
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,65,40,20241026S1_Cell21_B,0.0060577671974897
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,66,0,20241026S1_Cell1_A,0.0051776631735265
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,67,67,20241026S1_Cell3_B,0.0051754643209278
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,68,27,20241026S1_Cell18_A,0.0051684104837477
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,69,66,20241026S1_Cell3_A,0.0045123239979147
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,70,45,20241026S1_Cell23_A,0.0044778473675251
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,71,7,20241026S1_Cell11_B,0.0042889681644737
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,72,39,20241026S1_Cell21_A,0.0042797229252755
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,73,35,20241026S1_Cell2_C,0.0039701447822153
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,74,50,20241026S1_Cell24_C,0.00372836436145
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,75,101,20241026S1_Cell9_C,0.0035262850578874
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,76,53,20241026S1_Cell25_C,0.0034791866783052
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,77,5,20241026S1_Cell10_C,0.0034150572028011
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,78,83,20241026S1_Cell4_C,0.0032358421012759
2024Dec_Bile-S1,3,1,fp,0,Liver,0,Liver,1,79,78,20241026S1_Cell37_C,0.0031539388000965
